title,country,release_year,rating,duration_min,genre,description,platform
The Old Ways,United States,2020,TV-MA,90,Horror Movies,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed.",Netflix
The River Runner,NULL,2021,TV-MA,86,"Documentaries, Sports Movies","In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",Netflix
The Water Man,United States,2021,PG,92,"Children & Family Movies, Dramas","Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death.",Netflix
Count Me In,United Kingdom,2021,TV-MA,82,"Documentaries, Music & Musicals","This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.",Netflix
Untold: Caitlyn Jenner,NULL,2021,TV-PG,70,"Documentaries, LGBTQ Movies, Sports Movies","Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.",Netflix
Boomika,NULL,2021,TV-14,122,"Horror Movies, International Movies, Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",Netflix
Boomika (Hindi),NULL,2021,TV-14,122,"Horror Movies, International Movies, Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",Netflix
Boomika (Malayalam),NULL,2021,TV-14,122,"Horror Movies, International Movies, Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",Netflix
Boomika (Telugu),NULL,2021,TV-14,122,"Horror Movies, International Movies, Thrillers","Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think.",Netflix
The Witcher: Nightmare of the Wolf,NULL,2021,TV-MA,84,"Action & Adventure, Anime Features","Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",Netflix
Gunshot,NULL,2018,TV-14,96,"Dramas, International Movies, Thrillers","After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth.",Netflix
Man in Love,NULL,2021,TV-MA,115,"Dramas, International Movies, Romantic Movies","When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love.",Netflix
Sweet Girl,United States,2021,R,110,"Action & Adventure, Dramas","He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now.",Netflix
The Loud House Movie,NULL,2021,TV-Y7,88,"Children & Family Movies, Comedies, Music & Musicals","With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!",Netflix
A Faraway Land,NULL,2020,TV-PG,102,"Dramas, International Movies, Romantic Movies","In the Faroe Islands, a married woman meets a reporter filming a documentary on overseas Filipino workers, which soon sparks a complicated love story.",Netflix
Like Crazy,United States,2011,PG-13,91,"Dramas, Independent Movies, Romantic Movies",A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.,Netflix
Black Island,NULL,2021,TV-MA,105,"International Movies, Thrillers",The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.,Netflix
Bombay,India,1995,TV-14,135,"Dramas, International Movies, Romantic Movies","Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city.",Netflix
Memories of a Murderer: The Nilsen Tapes,NULL,2021,TV-MA,86,"Documentaries, International Movies",Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.,Netflix
Nneka The Pretty Serpent,NULL,2020,TV-14,140,"Dramas, International Movies","Years after the mysterious murder of her parents, a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers.",Netflix
O Kadhal Kanmani,NULL,2015,TV-14,133,"Dramas, International Movies, Romantic Movies","It's love at first sight for a young couple repelled by the concept of marriage, but their view shifts when they meet their older-couple neighbors.",Netflix
Out of my league,NULL,2020,TV-MA,92,"Comedies, Dramas, International Movies","Tired of swiping through the dating scene with her besties in tow, a charming yet awkward woman with a rare genetic disorder sets her sights on love.",Netflix
Pahuna,"India, Nepal",2018,TV-PG,82,"Comedies, Dramas, International Movies","Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India.",Netflix
The Secret Diary of an Exchange Student,NULL,2021,TV-14,97,"Comedies, International Movies, Romantic Movies","Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?",Netflix
Untold: Deal With the Devil,NULL,2021,TV-MA,78,"Documentaries, LGBTQ Movies, Sports Movies","Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life.",Netflix
Walk of Shame,United States,2014,R,94,"Comedies, Independent Movies","After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime.",Netflix
The Piano,"New Zealand, Australia, France, United States",1993,R,121,"Classic Movies, Dramas, Independent Movies","With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her.",Netflix
Unroyal,NULL,2020,TV-MA,97,"Dramas, International Movies","When a rude and arrogant princess finds herself relying on a gatekeeper after a terrible accident, it may be enough to make her change her ways.",Netflix
Beckett,"Italy, Brazil, Greece",2021,TV-MA,110,Action & Adventure,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,Netflix
"Lokillo: Nothing's the Same",Colombia,2021,TV-MA,64,Stand-Up Comedy,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail.",Netflix
Monster Hunter: Legends of the Guild,"United States, Japan",2021,TV-PG,59,"Action & Adventure, Anime Features, Children & Family Movies","In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.",Netflix
Brother Jekwu,Nigeria,2016,TV-14,101,"Comedies, International Movies","Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord.",Netflix
La diosa del asfalto,Mexico,2020,TV-MA,127,"Dramas, Independent Movies, International Movies","A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past.",Netflix
Misha and the Wolves,"Belgium, United Kingdom",2021,PG-13,90,"Documentaries, International Movies","As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny.",Netflix
The Kissing Booth 3,"United Kingdom, United States",2021,TV-14,114,"Comedies, Romantic Movies","Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee.",Netflix
The Railway Man,"Switzerland, United Kingdom, Australia",2013,R,108,"Dramas, International Movies","Decades after World War II, a still-shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus.",Netflix
Untold: Malice at the Palace,United States,2021,TV-MA,70,"Documentaries, Sports Movies","Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy.",Netflix
Quartet,United Kingdom,2012,PG-13,98,"Comedies, Dramas, Independent Movies","To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing.",Netflix
Slay,South Africa,2021,TV-MA,86,"Comedies, International Movies, Romantic Movies","In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities.",Netflix
Takizawa Kabuki ZERO 2020 The Movie,NULL,2020,TV-PG,139,"International Movies, Music & Musicals","Superstar Hideaki Takizawa reimagines his acclaimed kabuki production for the screen, featuring the dynamic talents of idol group Snow Man.",Netflix
The Paper Tigers,United States,2021,PG-13,111,"Action & Adventure, Comedies","After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor.",Netflix
"Quam's Money",Nigeria,2020,TV-MA,115,"Comedies, Dramas, International Movies","In this sequel to ""New Money,"" Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud.",Netflix
