,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
2974,s2975,TV Show,Bread Barbershop,,,,,2020,ALL,1 Season,"Animation, Kids","In a world where all the characters are different kinds of food, our hero is a slice of bread who is a master cake decorator. All the cupcakes in town come to his barbershop to have their decorations styled.",Prime Video
2978,s2979,TV Show,Brandi and Jarrod: Married to the Job,,"Brandi Passante, Jarrod Schulz",,,2014,TV-PG,1 Season,TV Shows,"We'll take a look at an individual's entire accumulation of material wealth, a once-in-a-lifetime experience to liquidate for cash! The results are always genuine, unexpected and dramatic as America tunes in to find out what they might be worth!",Prime Video
2980,s2981,TV Show,Brand New House On a Budget,,,,,2014,13+,1 Season,"Special Interest, Unscripted","A talented interior designer is challenged to do a huge home makeover on the tiniest budget, using clever styling tricks, bargain hunting and upcycling to transform drab houses into beautiful family homes.",Prime Video
2986,s2987,TV Show,Boys Over Flowers,,"Ku Hye-sun, Lee Min-ho, Kim Hyun-joong, Kim Bum, Kim Joon, Kim So-eun",,,2009,13+,1 Season,"Comedy, Drama, Romance","In this K-Drama classic, a poor girl attends an elite school, and is bullied by the leader of F4 (the four richest boys). He falls for her - however, she has a crush on his best friend. Whom will she choose?",Prime Video
2994,s2995,TV Show,Bottom,,,,,1995,TV-PG,3 Seasons,Comedy,More pungent episodes from the two head-banging morons whose idea of a wild night is pulling nose hair out with a pair of pliers. Join Richard Richard and his masochistic flatmate Eddie Hitler for more disgusting toilet humour and charming English pleasantries . . .,Prime Video
2999,s3000,TV Show,Born This Way,,"Sean McElwee, Rachel Osterbach",,,2018,TV-PG,4 Seasons,"Documentary, Drama, Unscripted","Critically-acclaimed, Emmy-winning docuseries Born This Way chronicles the journey of a diverse group of young men and women with Down syndrome as they push their boundaries and assert the independence they have cultivated the past 3 seasons.",Prime Video
3000,s3001,TV Show,Born Behind Bars,,,,,2018,TV-14,1 Season,"Documentary, Drama, Unscripted","A staggering 7,500 babies are born behind bars each year in the US. In most cases, babies are separated from their mother immediately after birth. Currently there are 8 experimental prison nursery programs nationwide and we have exclusive access to 1 of them.",Prime Video
3001,s3002,TV Show,Bordertown: Laredo,,,,,2011,TV-14,1 Season,"Documentary, Special Interest","Ruthless Mexican drug cartels resort to any means to transport illegal narcotics into the U.S., and the primary gateway is the tiny Texas city of Laredo, the largest inland port on the border.",Prime Video
3003,s3004,TV Show,Bookaboo UK,,,,,2009,TV-NR,1 Season,Kids,"Bookaboo is a world famous rock puppy who tours the globe with his band, playing drums to packed stadiums of adoring fans. However, there's just one hitch for our rock puppy superstar - he can't play without a story a day!",Prime Video
3004,s3005,TV Show,Bookaboo,,"Marcus Clarke, Matt Ficner, Jason Hopley",,,2016,ALL,1 Season,Kids,Bookaboo Season 1,Prime Video
